age_of_participant,gender,academic_status,field_of_education,do_you_know_about_how_antibiotics_differ_from_other_drugs,pick_the_most_appropriate_definition_of_antibiotics,how_can_you_identify_an_antibiotic,what_is_your_idea_about_the_importance_of_antibiotics,what_is_the_most_dangerous_impact_of_antibiotics,what_is_your_opinion_about_antibiotic_usage,what_is_your_perception_of_drug-resistant_germs,do_you_have_idea_about_antibiotic_resistance_as_a_threat_to_public_health,choose_a_statement_that_you_feel_is_the_best_strategy_to_face_antibiotic-resistance,which_of_the_strategies_have_you_heard_about_against_antibiotic_resistance,what_type_of_movement_on_public_health_issues_do_you_think_will_be_effective_in_setting_malpractices_right,why_do_you_think_public_health_issues_don’t_get_due_importance_in_public_opinion,how_many_antibiotics_have_you_taken_over_the_past_3_years,what_was_the_pattern_of_antibiotic_use,what_was_the_formulation_of_the_product_used,what_was_the_best_experience_with_the_consumption_of_antibiotics,what_was_the_worst_experience_with_the_consumption_of_antibiotics,how_did_you_come_to_consume_the_antibiotic,have_you_experienced_treatment_failure_from_antibiotic_consumption,what_was_your_understanding_of_treatment_failure
20,Female,bachelors 2nd year,BBA,Yes ,Medicine used to treat infections ,From name ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Male,HSC Completed,IELTS,No ,Medicine used to treat inflammation ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
19,Female,Honours 2nd year  ,"Jagannath Universit,, Microbiology Department      ",Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,No ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,I felt good to take medicines regularly (আমি নিয়মিত ওষুধ সেবন করলে ভাল বোধ করি),Duration ,A registered physician prescribed it for the specific symptoms ,Yes ,I didn’t consume antibiotic on time and didn’t complete the course 
20,Female,Hons' 2nd Year ,Microbiology,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption increases the cost of healthcare ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Male,Hon's 1st year ,Microbiology ,Yes ,Medicine used to treat infections ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
22,Male,"Department of Microbiology,JNU","4th year,1st semester",Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,Legal movement by welfare lawyers ,Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
19,Female,Undergrad student,BA in English,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our government does not endorse forming public opinion on public health policies ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A registered physician prescribed it for the specific symptoms ,No ,
19,Male,Bachelor,Engineering ,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our government does not endorse forming public opinion on public health policies ,I don’t remember ,,,,,,,
15,Female,Begum Badrunnessa Govt girls College ,Bangla,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason epidemics have been controlled ,Antibiotic production pollutes the environment ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
22,Female,B.Sc Engineering,ICE,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
20,Female,MBBS 1st year ,Medical science  ,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
21,Female,BSc(Engineering),ICE,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),Duration ,A registered physician prescribed it for the specific symptoms ,No ,
21,Male,Undergraduate,Computer Science,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Female,Bsc,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
30,Female,Post graduate ,Language & Linguistics ,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A registered physician prescribed it for the specific symptoms ,Yes ,I didn’t consume antibiotic on time and didn’t complete the course 
